VariableDesc,QNum,VarName
                                                                                                                                     ,id.format,id.format
Case completed in Snap Interviewer                                                                                                   ,id.completed,id.completed
Language used to conduct the interview                                                                                               ,id.language,id.language
Date of interview                                                                                                                    ,id.date,id.date
Time interview started                                                                                                               ,id.start,id.start
Completion date of interview                                                                                                         ,id.enddate,id.enddate
Time interview ended                                                                                                                 ,id.end,id.end
Duration of interview                                                                                                                ,id.time,id.time
Name or ID of interviewer                                                                                                            ,id.interviewer,id.interviewer
Location of interview                                                                                                                ,id.location,id.location
VillagePreId                                                                                                                         ,Pre.ID..1...Geo..2.,VillagePreId           
Group                                                                                                                                ,Pre.id1.Geo2.NP3,Group
District                                                                                                                             ,dist,dist
<none>                                                                                                                               ,Village,Village
  1.3. Household serial number in this cluster : Serial...                                                                           ,q1_3,Serial
  1.4. Gender of the respondents                                                                                                     ,q1_4,Gender
  1.5 Is this household on the village list of poor ho...                                                                            ,q1_5,VilPoor
  1.6.1 Name of Head of Household:                                                                                                   ,q1_6_1,HoH_Name
  1.6.2 Sex of the Head of Household:                                                                                                ,q1_6_2,HoH_Sex
  1.7 Literacy level_HoH                                                                                                             ,q1_7_1_1,HoH_Literacy_Level
  1.7 Literacy level_Spouse of HoH                                                                                                   ,q1_7_1_2,HoH_Spouse_Literacy_Level
"  1.8 Does anyone in your HH belong to any of the foll... - Civil servants (SASS),                                                   ",q1_8_1,HH_Insurance_Civil_servants_(SASS)
"  1.8 Does anyone in your HH belong to any of the foll... - Police/military,                                                         ",q1_8_2,HH_Insurance_Police/military
"  1.8 Does anyone in your HH belong to any of the foll... - Private employee (SSO),                                                  ",q1_8_3,HH_Insurance_Private_Employee_(SSO)
"  1.8 Does anyone in your HH belong to any of the foll... - informal CBHI,                                                           ",q1_8_4,HH_Insurance_Informal_CBHI
"  1.8 Does anyone in your HH belong to any of the foll... - informal private health insurance,                                       ",q1_8_5,HH_Insurance_Informal_Private
"  1.8 Does anyone in your HH belong to any of the foll... - Poor HEF card,                                                           ",q1_8_6,HH_Insurance_HEFCard
  1.8 Does anyone in your HH belong to any of the foll... - Poor List of government (HEF or not)                                     ,q1_8_7,HH_Insurance_GVTPoor
  1.8 Does anyone in your HH belong to any of the foll... - Informal no insurance                                                    ,q1_8_8,HH_Insurance_Informal_no_insurance
 Card number                                                                                                                         ,q1_8_card_no,HH_Card_number
 Card number                                                                                                                         ,q1_8_card_check,HH_Card_number_check
1.9.1 Mobile phone Number: 1st Number:                                                                                               ,q1_9_1,HH_Mobile_1
1.9.2 Mobile phone Number:  2nd Number:                                                                                              ,q1_9_2,HH_Mobile_2
2.1 How many people are usually living in household in...                                                                            ,q2_1,HH_NumPeople
Name 1                                                                                                                               ,q2_1_2_1,q2_1_2_1
Name 2                                                                                                                               ,q2_1_2_2,q2_1_2_2
Name 3                                                                                                                               ,q2_1_2_3,q2_1_2_3
Name 4                                                                                                                               ,q2_1_2_4,q2_1_2_4
Name 5                                                                                                                               ,q2_1_2_5,q2_1_2_5
Name 6                                                                                                                               ,q2_1_2_6,q2_1_2_6
Name 7                                                                                                                               ,q2_1_2_7,q2_1_2_7
Name 8                                                                                                                               ,q2_1_2_8,q2_1_2_8
Name 9                                                                                                                               ,q2_1_2_9,q2_1_2_9
Name 10                                                                                                                              ,q2_1_2_10,q2_1_2_10
Name 11                                                                                                                              ,q2_1_2_11,q2_1_2_11
Name 12                                                                                                                              ,q2_1_2_12,q2_1_2_12
Name 13                                                                                                                              ,q2_1_2_13,q2_1_2_13
Name 14                                                                                                                              ,q2_1_2_14,q2_1_2_14
Name 15                                                                                                                              ,q2_1_2_15,q2_1_2_15
Name 16                                                                                                                              ,q2_1_2_16,q2_1_2_16
Name 17                                                                                                                              ,q2_1_2_17,q2_1_2_17
Name 18                                                                                                                              ,q2_1_2_18,q2_1_2_18
Name 19                                                                                                                              ,q2_1_2_19,q2_1_2_19
Name 20                                                                                                                              ,q2_1_2_20,q2_1_2_20
Name 21                                                                                                                              ,q2_1_2_21,q2_1_2_21
Name22                                                                                                                               ,q2_1_2_22,q2_1_2_22
Name23                                                                                                                               ,q2_1_2_23,q2_1_2_23
Name24                                                                                                                               ,q2_1_2_24,q2_1_2_24
Name25                                                                                                                               ,q2_1_2_25,q2_1_2_25
Name26                                                                                                                               ,q2_1_2_26,q2_1_2_26
Name27                                                                                                                               ,q2_1_2_27,q2_1_2_27
Name28                                                                                                                               ,q2_1_2_28,q2_1_2_28
Name29                                                                                                                               ,q2_1_2_29,q2_1_2_29
Name30                                                                                                                               ,q2_1_2_30,q2_1_2_30
1 Is _male or female?                                                                                                                ,q2_2_1,q2_2_1
2 Is ____male or female?                                                                                                             ,q2_2_2,q2_2_2
3 Is ____male or female?                                                                                                             ,q2_2_3,q2_2_3
4 Is ____male or female?                                                                                                             ,q2_2_4,q2_2_4
5 Is ____male or female?                                                                                                             ,q2_2_5,q2_2_5
6 Is ____male or female?                                                                                                             ,q2_2_6,q2_2_6
7 Is ____male or female?                                                                                                             ,q2_2_7,q2_2_7
