q3_1          |  WasSick12mo
q3_2          |  TreatedPersonNum
q3_3_1        |  Consult_National_Hospital
q3_3_2        |  Consult_Provincial_Hospital
q3_3_3        |  Consult_District_Hospital
q3_3_4        |  Consult_Health_Center
q3_3_5        |  Consult_Health_Volunteer
q3_3_6        |  Consult_Traditional_Healer
q3_3_7        |  Consult_Private_Private_Pharmacist
q3_3_8        |  Consult_Private_Clinic 
q3_3_9        |  Consult_Religious healer
q3_3_1.1      |  National_Hospital_cost_Medicine 
q3_3_1.2      |  National_Hospital_cost_Medical_Fee
q3_3_1.3      |  National_Hospital_cost_Transport
q3_3_1.4      |  National_Hospital_cost_Others
q3_3_1.5      |  National_Hospital_cost_Overall_average
q3.3.1_other  |  National_Hospital_other
q3.3.2.1      | Provincial_Hospital_cost_Medicine
q3.3.2.2      | Provincial_Hospital_cost_Medical_Fee
q3.3.2.3      | Provincial_Hospital_cost_Transport
q3.3.2.4      | Provincial_Hospital_cost_Others 
q3.3.2.5      | Provincial_Hospital_cost_Overall_average:
q3.3.2_other  | Provincial_Hospital_cost_other
q3.3.3.1      | District_Hospital_cost_Medicine        
q3.3.3.2      | District_Hospital_cost_Medical_Fee     
q3.3.3.3      | District_Hospital_cost_Transport       
q3.3.3.4      | District_Hospital_cost_Others          
q3.3.3.5      | District_Hospital_cost_Overall_average 
q3.3.3_other  | District_Hospital_cost_other           
q3.3.4.1      |  Health_Center_cost_Medicine        
q3.3.4.2      |  Health_Center_cost_Medical_Fee     
q3.3.4.3      |  Health_Center_cost_Transport       
q3.3.4.4      |  Health_Center_cost_Others          
q3.3.4.5      |  Health_Center_cost_Overall_average 
q3.3.4_other  |  Health_Center_cost_other           
q3.3.5.1      | Health_Volunteer_cost_Medicine        
q3.3.5.2      | Health_Volunteer_cost_Medical_Fee     
q3.3.5.3      | Health_Volunteer_cost_Transport       
q3.3.5.4      | Health_Volunteer_cost_Others          
q3.3.5.5      | Health_Volunteer_cost_Overall_average 
q3.3.5_other  | Health_Volunteer_cost_other           
q3.3.6.1      |  Traditional_Healer_cost_Medicine        
q3.3.6.2      |  Traditional_Healer_cost_Medical_Fee     
q3.3.6.3      |  Traditional_Healer_cost_Transport       
q3.3.6.4      |  Traditional_Healer_cost_Others          
q3.3.6.5      |  Traditional_Healer_cost_Overall_average 
q3.3.6_other  |  Traditional_Healer_cost_other           
q3.3.7.1      | 3.3.7 Private Private Pharmacist how much did you/he pay for Medicine
q3.3.7.2      | 3.3.7 Private Private Pharmacist how much did you/he pay for Medical Fee
q3.3.7.3      | 3.3.7 Private Private Pharmacist how much did you/he pay for Transport
q3.3.7.4      | 3.3.7 Private Private Pharmacist how much did you/he pay for Others
q3.3.7.5      | Overall average:
q3.3.7_other  | 3.3.7 other
q3.3.8.1      | 3.3.8 Private clinic / private modern medical practitioner how much did you/he pay for Medicine
q3.3.8.2      | 3.3.8 Private clinic / private modern medical practitioner how much did you/he pay for Medical Fee
q3.3.8.3      | 3.3.8 Private clinic / private modern medical practitioner how much did you/he pay for Transport
q3.3.8.4      | 3.3.8 Private clinic / private modern medical practitioner how much did you/he pay for  Others
q3.3.8.5      | Overall average:
q3.3.8_other  | 3.3.8 other
q3.3.9.1      | 3.3.9 Religious healer how much did you/he pay for Medicine 
q3.3.9.2      | 3.3.9 Religious healer how much did you/he pay for Medical Fee
q3.3.9.3      | 3.3.9 Religious healer how much did you/he pay for Transport
q3.3.9.4      | 3.3.9 Religious healer how much did you/he pay for Others
q3.3.9.5      | Overall average:
q3.3.9_other  | 3.3.9 other
q3.3.10.1     | 3.3.10 Total how much did you/he pay for Medicine
q3.3.10.2     | 3.3.10 Total how much did you/he pay for Medical Fee
q3.3.10.3     | 3.3.10 Total how much did you/he pay for Transport
q3.3.10.4     | 3.3.10 Total how much did you/he pay for Others
q3.3.10.5     | Overall average:
q3.3.10_other | 3.3.10 other
q3_4          |  3.4. The before last time a person of the household was ...
q3_5_1        |  3.5 The before last time a person of the household was v... - National Hospital
q3_5_2        |  3.5 The before last time a person of the household was v... - Provincial Hospital
q3_5_3        |  3.5 The before last time a person of the household was v... - District Hospital
q3_5_4        |  3.5 The before last time a person of the household was v... - Health Center
q3_5_5        |  3.5 The before last time a person of the household was v... - Health Volunteer
q3_5_6        |  3.5 The before last time a person of the household was v... - Traditional Healer
q3_5_7        |  3.5 The before last time a person of the household was v... - Private Private Pharmacist
q3_5_8        |  3.5 The before last time a person of the household was v... - Private clinic / private modern medical practitioner
q3_5_9        |  3.5 The before last time a person of the household was v... - Religious healer
q3.5.1.1      | 3.5.1 National Hospital how much did you/he pay for Medicine
q3.5.1.2      | 3.5.1 National Hospital how much did you/he pay for Medical Fee
q3.5.1.3      | 3.5.1 National Hospital how much did you/he pay for Transport
q3.5.1.4      | 3.5.1 National Hospital how much did you/he pay for Others
q3.5.1.5      | 3.5.1 Overall average:
q3.5.1_other  | 3.5.1 other
