Pro_Code1,Pro_Code,Dis_Code1,Dis_Code,Vill_Code1,Vill_Code,Village_Code,Vill_Name,Village_Status,HH_Total,People_Total,Women_Total,Etnhics_Majority,Project,Road_Access,Name_HC,Facility_code,Km_HC,Name_DH,Km_DH,Name_PH,Km_PH,Avg_HH_Size,Poor_HH,Expost_Code,Village_Town,HEF_Members1,SHEF_Members,DH_catg,Mem_Year
13,13,5,1305,1,001,1305001,ìø¦½ÀìÈ¨,1,23,145,73,2,3,1,PB-HC,12,12,Sepone DH,100,SVK-PH,308, 6.3 ,, 507 ,,145,100%,E. 51-100,2014
13,13,5,1305,2,002,1305002,ì½À¸ó­,1,17,112,55,2,3,1,PB-HC,12,15,Sepone DH,110,SVK-PH,321, 6.6 ,, 508 ,,112,100%,F. 100+,2014
13,13,5,1305,3,003,1305003,ª½¯º¤,1,57,191,86,2,3,1,PB-HC,12,9,Sepone DH,120,SVK-PH,325, 3.4 ,, 509 ,,191,100%,F. 100+,2014
13,13,5,1305,4,004,1305004,¡üº¡ + ì¾¡ + ¥¼¤ªø®,1,97,583,269,2,3,1,PB-HC,12,11,Sepone DH,125,SVK-PH,332, 6.0 ,, 510 ,,583,100%,F. 100+,2014
13,13,5,1305,5,005,1305005,¦ö®¦½ìø + ì½´¾¨ + ª½ëö¸½,1,84,335,181,2,3,1,PB-HC,12,10,Sepone DH,76,SVK-PH,282, 4.0 ,, 511 ,,335,100%,E. 51-100,2014
13,13,5,1305,6,006,1305006,­¾ + ¹ìñ¤¡ö­,1,110,489,242,2,1,2,PB-HC,12,8,Sepone DH,85,SVK-PH,289, 4.4 ,, 512 ,,489,100%,E. 51-100,2014
13,13,5,1305,7,007,1305007,¦½¯º¤,1,56,253,126,2,1,2,PB-HC,12,13,Sepone DH,67,SVK-PH,276, 4.5 ,, 513 ,,253,100%,E. 51-100,2014
13,13,5,1305,8,008,1305008,°¾®ñ¤ + êÈ¾²ó¤ + ¡½©ð,1,177,933,456,2,1,3,PB-HC,12,1,Sepone DH,75,SVK-PH,272, 5.3 ,, 514 ,,933,100%,E. 51-100,2014
13,13,5,1305,9,009,1305009,ÃÏÈ + êÈ¾Á©¤ 2,1,94,435,227,2,1,2,PB-HC,12,6,Sepone DH,70,SVK-PH,272, 4.6 ,, 515 ,,435,100%,E. 51-100,2014
13,13,5,1305,10,010,1305010,­ÕÂê­ + ª½¹ì¾¸,1,87,483,239,2,1,3,PB-HC,12,16,Sepone DH,50,SVK-PH,262, 5.6 ,, 516 ,,483,100%,E. 51-100,2014
