"","HEF PreID","HEF GeoID","NoAssis","All"
"Care_At_No_care",3.8%,12.8%,1.8%,6.1%
"Care_At_Homemade_medicine",0.5%,2.3%,0.3%,1.1%
"Care_At_Village_modern_medical_practitioner",0.1%,0.2%,0.0%,0.1%
"Care_At_Village_health_volunteer",4.7%,8.4%,2.8%,5.2%
"Care_At_Traditional_healer",0.8%,1.8%,0.9%,1.2%
"Care_At_Health_centre",51.3%,41.2%,32.2%,40.2%
"Care_At_District_hospital",21.4%,19.8%,15.2%,18.4%
"Care_At_Provincial_hospital/Regional",19.7%,2.1%,20.6%,13.9%
"Care_At_National_hospital",0.2%,0.0%,0.6%,0.3%
"Care_At_Private_pharmacy",18.3%,10.8%,29.4%,20.1%
"Care_At_Private_clinic",3.7%,2.9%,11.4%,6.5%
"Care_At_Abroad",0.0%,0.3%,0.5%,0.3%
"Care_At_Illegal_medical_practitioner",0.1%,0.5%,0.1%,0.2%
"Care_At_Other",0.4%,0.1%,0.4%,0.3%
"Care_At_Military_Hospital",0.3%,0.1%,0.2%,0.2%
"Care_At_Religious_Healer",0.1%,0.0%,0.2%,0.1%
